t,valence,arousal,dva/t,dva/t,avg va,avg ar,davgval,davgar,abs(D),abs(E),mean(J),mean(K)
192,0.058876727,-0.41520733,0.087246549,-0.00570013,-0.059146177,-0.38750315,0.026507764,-0.000994654,0.087246549,0.00570013,,
193,-0.06832927,-0.3879631,-0.127205997,0.02724423,-0.055742001,-0.37533625,0.003404176,0.0121669,0.127205997,0.02724423,,
194,0.09296527,-0.45679066,0.16129454,-0.06882756,-0.003529409,-0.425287696,0.052212592,-0.049951446,0.16129454,0.06882756,,
195,0.10681827,-0.41192675,0.013853,0.04486391,0.032392235,-0.416279008,0.035921644,0.009008688,0.013853,0.04486391,,
196,-0.13669592,-0.41448197,-0.24351419,-0.00255522,0.010727015,-0.417273962,-0.02166522,-0.000994954,0.24351419,0.00255522,,
197,0.16276833,-0.5193064,0.29946425,-0.10482443,0.031505336,-0.438093776,0.020778321,-0.020819814,0.29946425,0.10482443,,
198,0.16509715,-0.22041987,0.00232882,0.29888653,0.07819062,-0.40458513,0.046685284,0.033508646,0.00232882,0.29888653,,
199,0.29798308,-0.37011164,0.13288593,-0.14969177,0.119194182,-0.387249326,0.041003562,0.017335804,0.13288593,0.14969177,,
200,0.35487998,-0.474695,0.0568969,-0.10458336,0.168806524,-0.399802976,0.049612342,-0.01255365,0.0568969,0.10458336,,
201,0.13597488,-0.3834769,-0.2189051,0.0912181,0.223340684,-0.393601962,0.05453416,0.006201014,0.2189051,0.0912181,,
